77	[scene1]	mesh=0	world=(-0.721655, 0.236275, -1.26761)	local=(-0.747274, 0.311789, -1.28529)
78	[Grup1]	mesh=0	world=(-0.0110652, -0.151917, 0.017682)	local=(0.770953, -0.314294, 1.24978)
79	[Grup2]	mesh=0	world=(-0.744942, 0.241242, -1.23209)	local=(-3.53671, 0.303907, -1.23209)
80	[WEDS FR]	mesh=0	world=(2.79177, -0.0626657, 0)	local=(2.79177, 0, -0)
81	[Object_64]	mesh=1	world=(0.714076, 0.234331, 1.26562)	local=(0, 0, -0)
82	[Cal.002_16]	mesh=0	world=(0.714076, 0.234331, 1.26562)	local=(0.0248064, 0, -0)
83	[Object_66]	mesh=1	world=(0.713237, 0.234275, 1.26562)	local=(0, 0, -0)
84	[Object_67]	mesh=1	world=(0.713237, 0.234275, 1.26562)	local=(0, 0, -0)
85	[Object_68]	mesh=1	world=(0.663439, 0.230968, 1.26562)	local=(-0.0499077, 0, -0)
86	[Disc.002_17]	mesh=0	world=(0.713237, 0.234275, 1.26562)	local=(0.0239654, 0, -0)
87	[RL_22]	mesh=0	world=(0.689325, 0.232687, 1.26562)	local=(0.720216, 0.308215, 1.23639)
88	[Object.004]	mesh=1	world=(0.766273, 0.240299, 1.26306)	local=(0.0513499, -0.00755003, -0)
89	[Object_1.002]	mesh=1	world=(0.767521, 0.240364, 1.27061)	local=(0.0525999, 0, -0)
90	[Object_3.001]	mesh=1	world=(0.7681, 0.240395, 1.27061)	local=(0.0531795, 0, -0)
91	[Object_4]	mesh=1	world=(0.714993, 0.237611, 1.27061)	local=(0, 0, -0)
92	[Object_5.001]	mesh=1	world=(0.714993, 0.237611, 1.27061)	local=(0, 0, -0)
93	[weds kranze cerberus ii.obj.cleaner.materialmerger.gles]	mesh=0	world=(0.714993, 0.237611, 1.27061)	local=(0, 0, -0)
94	[Sketchfab_model.001]	mesh=0	world=(0.714993, 0.237611, 1.27061)	local=(0, 0, -0)
95	[Sketchfab_Scene.001]	mesh=0	world=(0.714993, 0.237611, 1.27061)	local=(0, 0, -0)
96	[scene.001]	mesh=0	world=(0.714993, 0.237611, 1.27061)	local=(0.746107, 0.311789, 1.24139)
97	[Grup7]	mesh=0	world=(-0.0137736, -0.112799, 0.0292255)	local=(-0.0429108, 0, -0)
98	[WEDS RL]	mesh=0	world=(0.0290784, -0.110553, 0.0292255)	local=(0.0290784, -0.0478872, 0.0292255)
99	[Object_98]	mesh=1	world=(-0.717073, 0.247296, 1.26938)	local=(0, 0, -0)
100	[Cal.004_30]	mesh=0	world=(-0.717073, 0.247296, 1.26938)	local=(-0.74502, 0.308561, 1.23751)
101	[Object_100]	mesh=1	world=(-0.716233, 0.247252, 1.26938)	local=(0, 0, -0)
102	[Object_101]	mesh=1	world=(-0.716233, 0.247252, 1.26938)	local=(0, 0, -0)
103	[Object_102]	mesh=1	world=(-0.681958, 0.245456, 1.26938)	local=(0.0343223, 0, -0)
104	[Disc.004_31]	mesh=0	world=(-0.716233, 0.247252, 1.26938)	local=(-0.744179, 0.30855, 1.23751)
105	[Object.005]	mesh=1	world=(-0.770514, 0.252579, 1.28081)	local=(0.0513499, -0.00754996, -0)
106	[Object_1.003]	mesh=1	world=(-0.719202, 0.250608, 1.27326)	local=(0, 0, -0)
107	[Object_107]	mesh=1	world=(-0.769429, 0.252537, 1.27326)	local=(0.0502646, 0, -0)
108	[Object_108]	mesh=1	world=(-0.719202, 0.250608, 1.27326)	local=(0, 0, -0)
109	[Object_2.003]	mesh=1	world=(-0.771763, 0.252627, 1.27326)	local=(0.0525999, 0, -0)
110	[weds kranze cerberus ii.obj.cleaner.materialmerger.gles2]	mesh=0	world=(-0.719202, 0.250608, 1.27326)	local=(0, 0, -0)
111	[Sketchfab_model2]	mesh=0	world=(-0.719202, 0.250608, 1.27326)	local=(0, 0, -0)
112	[Sketchfab_Scene2]	mesh=0	world=(-0.719202, 0.250608, 1.27326)	local=(0, 0, -0)
113	[scene2]	mesh=0	world=(-0.719202, 0.250608, 1.27326)	local=(-0.747274, 0.311789, 1.24139)
114	[Grup3]	mesh=0	world=(0.0155528, -0.0896376, 0.0318706)	local=(0.724449, -0.298129, -1.23751)
115	[WEDS RR]	mesh=0	world=(-0.692301, 0.245998, 1.26938)	local=(-0.692301, 0.308664, 1.26938)
116	[Grup.002]	mesh=0	world=(0, -0.0626657, 0)	local=(0, 0, -0)
117	[Scene]	mesh=0	world=(0, -0.0626657, 0)	local=(0, 0, -0)
118	[Proyek baru 1]	mesh=0	world=(0, -0.0626657, 0)	local=(0, -0.0626657, -0)
119	[interior]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
120	[windscreen_ok]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
121	[Scene6]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
122	[Proyek baru 10]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
123	[Chassic]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
124	[Scene5]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
125	[Proyek baru 11]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
126	[Material_1]	mesh=1	world=(0.788973, 0.367383, -0.470317)	local=(-583.389, 47.521, 36.0733)
127	[Material_1.001]	mesh=1	world=(-0.78442, 0.367378, -0.470328)	local=(-426.05, 47.5221, 36.0738)
128	[Material_2]	mesh=1	world=(-0.000398159, 0.32365, 1.92342)	local=(-504.452, -191.853, 40.4467)
129	[Material_3]	mesh=1	world=(-0.000398159, 0.147183, 1.92693)	local=(-504.452, -192.204, 58.0934)
130	[remap__prim_env_4_spec_]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
131	[Scene4]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
132	[Proyek baru 12]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
133	[door_rf_ok]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
134	[Scene3]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
135	[Proyek baru 15]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
136	[door_lf_ok]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
137	[Scene2]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
138	[Proyek baru 16]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
139	[lights_front1]	mesh=0	world=(-5.04492, 0.559101, -2.58657)	local=(-2.26125e-05, 6.07447e-06, -1.18646e-05)
140	[Scene8]	mesh=0	world=(-5.04492, 0.559101, -2.58657)	local=(-2.26125e-05, 6.07447e-06, -0)
141	[Proyek baru 4]	mesh=0	world=(-5.04492, 0.559101, -2.58657)	local=(-8.36476e-05, 259.146, 16.9014)
142	[lights_front]	mesh=0	world=(-5.04492, 0.787274, 1.83788)	local=(4.65848e-05, -1.225e-05, -0)
143	[lights_z]	mesh=0	world=(-5.04492, 0.787274, 1.83788)	local=(4.65848e-05, -1.225e-05, -0)
144	[Scene.002]	mesh=0	world=(-5.04492, 0.787274, 1.83788)	local=(4.65848e-05, -1.225e-05, -1.34535e-05)
145	[Proyek baru 4 (2)]	mesh=0	world=(-5.04492, 0.787274, 1.83788)	local=(-4.49679e-05, -183.298, -5.91575)
146	[nardi]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
147	[Scene1]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
148	[Proyek baru 8]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
149	[bride gias]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
150	[Scene7]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(0, 0, -7.56365e-06)
151	[Proyek baru 9]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(-6.09924e-05, 0, -7.56365e-06)
152	[s15 diluk]	mesh=0	world=(-5.04492, 0.728116, 0.00489339)	local=(239.234, 72.8116, -0)
153	[Scene.001]	mesh=0	world=(-2.65258, 0, 0.00489318)	local=(0, 0, -0)
154	[DLUX KIT]	mesh=0	world=(-2.65258, 0, 0.00489318)	local=(-2.65258, 0, 0.00489318)
155	[group1]	mesh=0	world=(0.702536, 0.166574, 1.26876)	local=(70.2536, 16.6575, 126.876)
156	[group2]	mesh=0	world=(0.695, 0.161204, -1.25765)	local=(69.5, 16.1204, -125.765)
157	[group3]	mesh=0	world=(-0.703, 0.166575, 1.26876)	local=(-70.3, 16.6575, 126.876)
158	[group4]	mesh=0	world=(-0.695, 0.161204, -1.25765)	local=(-69.5, 16.1204, -125.765)
159	[N:Boot6_Mesh_008_M_Badge_Max_001]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
160	[N:Boot6_Mesh_008_M_Badge_Max_002_N:M_Opaque_AluminumSmooth_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
161	[N:Boot6_Mesh_008_M_Badge_Max_002]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
162	[N:Boot6_Mesh_008_M_Badge_Max_003_N:M_Engine_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
163	[N:Boot6_Mesh_008_M_Badge_Max_003]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
164	[N:Boot6_Mesh_008_M_Badge_Max_004_N:M_CarPaint_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
165	[N:Boot6_Mesh_008_M_Badge_Max_004]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
166	[N:BumperChassisF6_Mesh_009_M_Chassis_Max_001]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
167	[N:BumperChassisF6_Mesh_009_M_Chassis_Max_002_N:M_Opaque_PlasticSmoothBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
168	[N:BumperChassisF6_Mesh_009_M_Chassis_Max_002]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
169	[N:BumperChassisR6_Mesh_010_M_Chassis_Max_002_N:M_Chassis_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
170	[N:BumperChassisR6_Mesh_010_M_Chassis_Max_002]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
171	[N:BumperF6_Mesh_011_M_Chassis_Max_003_N:M_Chassis_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
172	[N:BumperF6_Mesh_011_M_Chassis_Max_003]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
173	[N:BumperF6_Mesh_011_M_Chassis_Max_004_N:M_GrilleA_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
174	[N:BumperF6_Mesh_011_M_Chassis_Max_004]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
175	[N:BumperF6_Mesh_011_M_Chassis_Max_005_N:M_Opaque_PlasticSmoothBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
176	[N:BumperF6_Mesh_011_M_Chassis_Max_005]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
177	[N:BumperF6_Mesh_011_M_Chassis_Max_006_N:M_Opaque_PlasticRoughBlack_Max1_0]	mesh=1	world=(0, 0, 0)	local=(0, 0, -0)
178	[N:BumperF6_Mesh_011_M_Chassis_Max_006]	mesh=0	world=(0, 0, 0)	local=(0, 0, -0)
